epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.829,4.78,4.07522,2.65254,0.02844,0.0744,0.01186,0.00399,3.52462,3.28149,1.91329,0.00166538,0.00166538,0.0683578
2,383.048,3.26003,2.99514,1.71021,0.07083,0.13029,0.04289,0.01711,2.8596,2.6002,1.54736,0.00322209,0.00322209,0.0365812
3,637.456,2.78707,2.55457,1.48729,0.19755,0.13731,0.06878,0.03202,2.44141,2.21746,1.39452,0.0046688,0.0046688,0.00469454
4,823.824,2.5158,2.29567,1.38167,0.26942,0.16871,0.101,0.04688,2.23935,1.99861,1.31243,0.004505,0.004505,0.004505
5,1006.62,2.3597,2.12298,1.31513,0.20798,0.17863,0.12115,0.05915,2.1541,1.85191,1.26826,0.00434,0.00434,0.00434
6,1193,2.26384,2.00359,1.27247,0.20869,0.20222,0.13038,0.06564,2.05338,1.77156,1.23473,0.004175,0.004175,0.004175
7,1523.47,2.18403,1.91096,1.24634,0.27122,0.21424,0.1579,0.07971,2.00263,1.69062,1.20538,0.00401,0.00401,0.00401
8,1707.29,2.13316,1.84828,1.22788,0.27095,0.22359,0.16611,0.08627,1.94643,1.63421,1.20371,0.003845,0.003845,0.003845
9,1888.86,2.09325,1.79972,1.21789,0.27102,0.23908,0.18129,0.09382,1.91125,1.58915,1.18629,0.00368,0.00368,0.00368
10,2070.88,2.04622,1.74192,1.20174,0.27908,0.23971,0.18435,0.09594,1.8996,1.57803,1.1768,0.003515,0.003515,0.003515
11,2251.83,2.02034,1.70218,1.19414,0.29474,0.25243,0.19763,0.10298,1.87706,1.53762,1.16963,0.00335,0.00335,0.00335
12,2509.89,1.99991,1.68231,1.18323,0.30561,0.2655,0.2099,0.10926,1.84459,1.49982,1.16038,0.003185,0.003185,0.003185
13,2692.11,1.97227,1.64117,1.17618,0.32402,0.26722,0.21511,0.11462,1.83256,1.48892,1.15692,0.00302,0.00302,0.00302
14,2875.66,1.96106,1.61782,1.17212,0.33221,0.27026,0.21969,0.11721,1.80757,1.47059,1.14575,0.002855,0.002855,0.002855
15,3067.12,1.93578,1.59105,1.16234,0.33073,0.27709,0.22865,0.12145,1.79712,1.44859,1.14176,0.00269,0.00269,0.00269
16,3247.89,1.92545,1.57288,1.16237,0.33552,0.2728,0.22923,0.12174,1.79093,1.43847,1.14693,0.002525,0.002525,0.002525
17,3467.35,1.92103,1.56138,1.15674,0.35178,0.27482,0.23927,0.12693,1.77139,1.41426,1.13831,0.00236,0.00236,0.00236
18,8456.12,1.90311,1.53883,1.14839,0.35239,0.2892,0.24475,0.1312,1.76302,1.40827,1.13279,0.002195,0.002195,0.002195
19,9071.71,1.87595,1.51631,1.14572,0.36649,0.29138,0.25024,0.13317,1.75469,1.4017,1.13237,0.00203,0.00203,0.00203
20,10124.9,1.86969,1.50248,1.14332,0.36173,0.29072,0.24842,0.13332,1.74907,1.38774,1.12906,0.001865,0.001865,0.001865
21,10300.7,1.81945,1.48574,1.14922,0.36881,0.29235,0.25319,0.13648,1.74327,1.37779,1.1257,0.0017,0.0017,0.0017
22,10460,1.80979,1.46188,1.14516,0.3659,0.29079,0.24925,0.13499,1.73138,1.37175,1.1246,0.001535,0.001535,0.001535
23,10620.7,1.7993,1.45098,1.14252,0.37506,0.2949,0.25256,0.13646,1.72639,1.36568,1.12365,0.00137,0.00137,0.00137
24,10907.3,1.79304,1.44007,1.13678,0.38064,0.29714,0.25585,0.13767,1.72978,1.36478,1.12448,0.001205,0.001205,0.001205
25,11067,1.78511,1.42633,1.13702,0.38445,0.29934,0.26403,0.14261,1.72596,1.34998,1.11973,0.00104,0.00104,0.00104
26,11226.2,1.77789,1.41711,1.13125,0.38245,0.30067,0.26493,0.14325,1.7164,1.3456,1.11741,0.000875,0.000875,0.000875
27,11387.2,1.76345,1.40372,1.13277,0.38676,0.30292,0.26473,0.14276,1.71594,1.34438,1.1193,0.00071,0.00071,0.00071
28,11546.5,1.76078,1.39608,1.1306,0.3901,0.30362,0.26768,0.14388,1.71524,1.34379,1.11908,0.000545,0.000545,0.000545
29,11706.8,1.75193,1.39124,1.12868,0.38757,0.30309,0.26737,0.14497,1.70907,1.33565,1.11677,0.00038,0.00038,0.00038
30,11869.5,1.74771,1.3799,1.12558,0.39933,0.30104,0.2709,0.14619,1.70742,1.33101,1.11579,0.000215,0.000215,0.000215
